"id","url","first_paragraph","createdAt","updatedAt"
28,"https://www.edinburghlive.co.uk/news/edinburgh-news/ryanair-passengers-diverted-300-miles-25735208","Passengers on a Ryanair journey from Oslo were left shocked and confused when they were suddenly informed their flight would be landing in the Scottish capital instead of London Stansted.","2022-12-13 16:33:51.388+00","2022-12-13 16:33:51.388+00"
29,"https://www.liverpoolecho.co.uk/news/liverpool-news/coward-killed-innocent-stranger-rolex-25741040","A family member of the victim shouted ""F***ing rat"" as he was jailed","2022-12-13 16:33:51.452+00","2022-12-13 16:33:51.452+00"
30,"https://www.liverpoolecho.co.uk/news/liverpool-news/woman-donates-train-fare-striking-25740163","Act of solidarity takes place as rail staff walk out for latest round of industrial action","2022-12-13 16:33:51.492+00","2022-12-13 16:33:51.492+00"
31,"https://www.liverpoolecho.co.uk/news/liverpool-news/homes-plan-former-liverpool-fc-25742483","The Reds left their West Derby base for Kirkby in 2020","2022-12-13 16:33:51.914+00","2022-12-13 16:33:51.914+00"
32,"https://www.liverpoolecho.co.uk/news/liverpool-news/almost-300-mersey-care-staff-25741419","GMB union said ""NHS is on life support"" as more action confirmed","2022-12-13 16:33:52.075+00","2022-12-13 16:33:52.075+00"
33,"https://www.liverpoolecho.co.uk/news/liverpool-news/ford-fiesta-stolen-couple-days-25739211","Medication for a terminal illness was in the car when it was stolen","2022-12-13 16:33:52.165+00","2022-12-13 16:33:52.165+00"
34,"https://www.edinburghlive.co.uk/news/edinburgh-news/nandos-open-new-edinburgh-restaurant-25738382","Filed in the council’s planning portal this week, an application has been made to transform a unit at Craigleith retail park into the popular chicken restaurant.","2022-12-13 16:33:52.216+00","2022-12-13 16:33:52.216+00"
35,"https://www.liverpoolecho.co.uk/news/liverpool-news/southport-pier-closed-public-over-25743423","The closure notice was issued effective immediately","2022-12-13 16:33:52.287+00","2022-12-13 16:33:52.287+00"
36,"https://www.edinburghlive.co.uk/news/edinburgh-news/edinburgh-voted-one-uks-most-25742631","Edinburgh has appeared in a list of the most miserable cities to reside in in the UK, as fellow Scottish area, Glasgow, also got hit with the miserable tagline.","2022-12-13 16:33:52.353+00","2022-12-13 16:33:52.353+00"
37,"https://www.edinburghlive.co.uk/news/edinburgh-news/new-east-lothian-schools-plan-25741853","East Lothian Council has also agreed to mothball some offices, turn down the heat in those in use to 18 degrees and shelve plans to refurbish Musselburgh's The Brunton Hall","2022-12-13 16:33:52.543+00","2022-12-13 16:33:52.543+00"
38,"https://www.edinburghlive.co.uk/news/edinburgh-news/east-lothian-woman-desperate-reunited-25736719","A dog walker in East Lothian is begging the public to keep their eyes open for her lost dog as Christmas draws closer. Amy Hamilton has been missing Benji for six months and says it hasn't got any easier.","2022-12-13 16:33:52.631+00","2022-12-13 16:33:52.631+00"
39,"https://www.liverpoolecho.co.uk/news/liverpool-news/nursery-children-ate-baby-lotion-25742855","The nursery had been slammed as inadequate six months ago but has now been transformed","2022-12-13 16:33:53.121+00","2022-12-13 16:33:53.121+00"
40,"https://www.liverpoolecho.co.uk/news/liverpool-news/police-name-six-suspects-probe-25742870","The charges follow an investigation into 12 burglaries in which cars, watches, jewellery an designer clothes were taken","2022-12-13 16:33:53.242+00","2022-12-13 16:33:53.242+00"
41,"https://www.edinburghlive.co.uk/news/edinburgh-news/body-found-search-edinburgh-man-25735409","Police have confirmed a body has been found in the search for Jamie Stenhouse, 34, who went missing from Gilmerton, Edinburgh, at around 11am on Saturday December 10.","2022-12-13 16:33:53.372+00","2022-12-13 16:33:53.372+00"
42,"https://www.edinburghlive.co.uk/news/edinburgh-news/mums-nightmare-daughter-stranded-edinburgh-25737750","Returning from the Arctic Circle, the plane full of families had been trying to make its way to Humberside Airport in England when they were told they would have to land in Scotland.","2022-12-13 16:33:53.461+00","2022-12-13 16:33:53.461+00"
43,"https://metro.co.uk/2022/12/13/when-is-the-next-train-strike-december-2022-and-january-2023-dates-17923030/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:53.865+00","2022-12-13 16:33:53.865+00"
44,"https://www.theguardian.com/uk-news/2022/dec/13/police-search-garden-in-handsworth-birmingham-for-human-remains","Police have made two arrests after receiving information about the death of a child in Handsworth","2022-12-13 16:33:53.973+00","2022-12-13 16:33:53.973+00"
45,"https://www.edinburghlive.co.uk/news/edinburgh-news/midlothian-mansion-sir-walter-scott-25741650","Located in Lasswade, 'Barony House' was occupied by Scott and his wife Charlotte following their honeymoon in 1798, with the couple living there until 1805.","2022-12-13 16:33:54.082+00","2022-12-13 16:33:54.082+00"
46,"https://www.theguardian.com/world/live/2022/dec/13/russia-ukraine-war-live-us-sends-first-power-equipment-to-ukraine-eu-breaks-hungary-stalemate-to-approve-18bn-aid-plan","Kremlin spokesperson claims people in Kherson, Zaporizhzhia, Donetsk and Luhansk provinces of Ukraine were Russia’s ‘new subjects’","2022-12-13 16:33:54.196+00","2022-12-13 16:33:54.196+00"
47,"https://www.theguardian.com/money/2022/dec/13/adam-afriyie-says-he-will-not-quit-as-conservative-mp-after-bankruptcy-order","Windsor MP will stand down at next election but not quit and trigger byelection","2022-12-13 16:33:54.24+00","2022-12-13 16:33:54.24+00"
48,"https://www.edinburghlive.co.uk/news/edinburgh-news/east-lothian-driver-caught-out-25738184","Issuing a warning on social media this week, road police shared that the motorist had been pulled over near Dunbar on Monday, where officers carried out a series of checks.","2022-12-13 16:33:54.3+00","2022-12-13 16:33:54.3+00"
49,"https://www.theguardian.com/environment/2022/dec/13/what-is-nuclear-fusion-what-have-scientists-achieved-ignition","After 70 years of research, experts in California have for the first time proven ignition is possible","2022-12-13 16:33:54.362+00","2022-12-13 16:33:54.362+00"
50,"https://www.theguardian.com/uk-news/2022/dec/13/rishi-sunak-tells-mps-clear-asylum-backlog-end-of-2023","PM says he has signed deal with Albania that will speed up removal of recent arrivals from Balkan country","2022-12-13 16:33:54.408+00","2022-12-13 16:33:54.408+00"
51,"https://www.theguardian.com/politics/2022/dec/13/ministers-accused-of-writing-blank-cheque-for-boris-johnson-legal-bills","Exclusive: Cabinet Office to extend contract with law firm to defend claims ex-PM misled parliament, sources say","2022-12-13 16:33:54.459+00","2022-12-13 16:33:54.459+00"
52,"https://www.birminghammail.co.uk/news/midlands-news/aunt-boy-killed-solihull-frozen-25740001","Charlotte McIlmurray, described the tragedy as a “nightmare”","2022-12-13 16:33:54.499+00","2022-12-13 16:33:54.499+00"
53,"https://www.birminghammail.co.uk/news/midlands-news/ghouls-filmed-babbs-mill-lake-25739781","The clips were said to have emerged as emergency services confirmed three children had died","2022-12-13 16:33:54.544+00","2022-12-13 16:33:54.544+00"
54,"https://www.birminghammail.co.uk/news/midlands-news/growing-sea-tributes-bid-god-25741769","A growing sea of flowers, teddies and heartfelt messages have been left at Babbs Mill Lake, the centre of the tragedy in Kingshurst","2022-12-13 16:33:54.597+00","2022-12-13 16:33:54.597+00"
55,"https://www.theguardian.com/uk-news/2022/dec/13/mick-lynch-accuses-bbc-parroting-rightwing-propaganda","RMT boss hits out at Today presenter Mishal Husain and also clashes with GMB’s Richard Madeley over strikes","2022-12-13 16:33:54.643+00","2022-12-13 16:33:54.643+00"
56,"https://www.birminghammail.co.uk/news/midlands-news/bq-probe-sick-tweet-claim-25740539","Three children - aged eight, ten and 11 - died and a fourth was fighting for life today","2022-12-13 16:33:54.695+00","2022-12-13 16:33:54.695+00"
57,"https://metro.co.uk/2022/12/12/london-new-years-eve-2023-where-to-watch-fireworks-in-the-capital-17920993/","NEWS... BUT NOT AS YOU KNOW IT","2022-12-13 16:33:54.73+00","2022-12-13 16:33:54.73+00"
58,"https://www.birminghammail.co.uk/news/midlands-news/handsworth-search-live-updates-police-25741035","The current occupiers of the property were not connected to the investigation, West Midlands Police said","2022-12-13 16:33:54.794+00","2022-12-13 16:33:54.794+00"
59,"https://www.theguardian.com/uk-news/2022/dec/13/train-strikes-uk-rail-disruption-stoppages","Rail bosses and unions also signal they will not budge, as RMT’s Mick Lynch says there is ‘no deal in sight’","2022-12-13 16:33:54.84+00","2022-12-13 16:33:54.84+00"
